Key,Value
homepage_a_propos_societe,"À propos de la sociétéVOUS PRESENTEROPTIM FINANCEÉtablie sur le marché français depuis 2015, OPTIM Finance offre une solution complète pour les freelances.Offre des missions IT de qualité, en banque, assurance et industrie.Conseille sur les meilleures solutions financières, entre portage salarial, auto-entreprise et société, et implémente la solution choisie pour vous.Accompagne sur vos choix de carrière et la négociation de mission, par du coaching et de la formation.Finance est une communauté d’experts, compétents et ambitieux, animés par l’entraide et l’esprit d’entreprendre.Tahar JRADCEO & Founder"
homepage_description_1,étape 1Des opportunités de carrièreChercher une mission
homepage_description_2,étape 2On vous offre la solution financière adéquateDécouvrir nos solutions
homepage_description_3,étape 3On vousaccompagneVoir notre documentation
homepage_description_4,"Vous êtes freelance à la recherche de la mission idéale ? Chez OPTIM Finance, nous vous offrons les meilleurs services pour répondre à vos besoins."
homepage_valeurs_description_0,Nos ValeursNos ValeursTransparenceConseil et solutions personnaliséesExpertise
homepage_solutions_acceuil,"solutions financièresQuelle solution financière vous convient le mieux ?Découvrez nos services et nos solutions financières, simulez vos revenus, comparez vos résultats et contactez nous pour devenir un client OPTIM Finance."
homepage_trusted_by,
homepage_contact_details,lire la vidéo
homepage_navigation_links_missions_0,https://www.optim-finance.com/nos-missions.html
homepage_navigation_links_solutions_fin_0,https://www.optim-finance.com/nos-solutions-financieres.html
homepage_navigation_links_portage_salarial_0,https://www.optim-finance.com/portage-salarial.html
homepage_navigation_links_auto_entreprise_0,https://www.optim-finance.com/auto-entreprise.html
homepage_navigation_links_gestion_societe_0,https://www.optim-finance.com/gestion-de-societe.html
homepage_navigation_links_simulations_0,https://www.optim-finance.com/simulations.html
homepage_navigation_links_documentation_0,https://www.optim-finance.com/documentation.html
homepage_navigation_links_conditions_utilisation_0,https://www.optim-finance.com/conditions-utilisation.html
homepage_navigation_links_politique_confidentialite_0,https://www.optim-finance.com/politique-de-confidentialite.html
missions_mission_1,Nos missionsQuelle solution financières teconvient le mieux ?Recherche
missions_mission_2,"FiltresInfrastructure180Développement12Data23Management65Affichage de41à60mission sur944Trier par:Plus récentPlus ancienUI / UX Designer fulltimeInfrastructureSelon votre situation et vos contraintes, le Portage  salarial, la création d’entreprise ou un parallèle des deux est envisageable, pour optimiser vos revenus, et sécuriser votre parcours.EnregistrerPostulerUI / UX Designer fulltimeInfrastructureSelon votre situation et vos contraintes, le Portage  salarial, la création d’entreprise ou un parallèle des deux est envisageable, pour optimiser vos revenus, et sécuriser votre parcours.EnregistrerPostulerUI / UX Designer fulltimeInfrastructureSelon votre situation et vos contraintes, le Portage  salarial, la création d’entreprise ou un parallèle des deux est envisageable, pour optimiser vos revenus, et sécuriser votre parcours.EnregistrerPostulerUI / UX Designer fulltimeInfrastructureSelon votre situation et vos contraintes, le Portage  salarial, la création d’entreprise ou un parallèle des deux est envisageable, pour optimiser vos revenus, et sécuriser votre parcours.EnregistrerPostulerUI / UX Designer fulltimeInfrastructureSelon votre situation et vos contraintes, le Portage  salarial, la création d’entreprise ou un parallèle des deux est envisageable, pour optimiser vos revenus, et sécuriser votre parcours.EnregistrerPostulerPrécedent123...10Suivant"
solutions_financieres_solutions_text,Nos solutions financièresNos solutions financièresPour une approche 360
solutions_financieres_description,"L'approche d'OPTIM FinanceUne approche 360° offerte aux Freelancer, qui commence par la recherche de missions, le choix de la solution financière la plus adéquate pour le consultant, jusqu'au conseil, à la formation et au coaching !OPTIM Finance commence par proposer aux Freelancer des missions qualifiées en IT dans différentes spécialités, leur permettant d’élargir leur portefeuille clients et d'obtenir davantage de missions.Nos équipes s’occupent ensuite de proposer au Freelancer la solution financière adaptée à ses besoins et de gérer son activité.OPTIM Finance se charge également de vous fournir des formations et du coaching pour booster votre carrière."
solutions_financieres_solutions_text_1,Nos solutionsComparons nos solutions financières
solutions_financieres_portage_salarial,"Portage salarialVous avez l’avantage d’un salarié : retraite, prévoyance, mutuelle, assurance chômage.4%Frais de gestionFaire une simulationInclus dans l'offre:100% avance de trésorerieGarantie financière, assurance RCP, MutuelleFrais optimisés et simplifiésOutils de gestion performants : BoondManager, People doc, DocuSign, JiraConseil et réactivitéen savoir plus"
solutions_financieres_auto_entreprise,"Auto-entrepriseProfiter de charges sociales relativement basses400€Frais de gestionFaire une simulationInclus dans l'offre:100% avance de trésorerieAssurance RCPLa garantie d’une gestion rigoureuse et experte : URSSAF, TVA, ImpôtOutils de gestion performants : BoondManager, Peopledoc, DocuSign, JiraConseil et réactivitéen savoir plus"
solutions_financieres_gestion_societe,"Création Et Gestion De SociétéOptez pour un statut adapté à l’investissement, au développement du business.5%Frais de gestionDEMANDER UN DEVISInclus dans l'offre:Le conseil et l’accompagnement : Statuts, rémunération, investissementLa garantie d’une gestion rigoureuse et experte : URSSAF, TVA, ImpôtOutils de gestion performants : Cegid, Relevé électroniqueen savoir plus"
portage_salarial_description,Portage salarialDécouvrons le portagesalarial chez OPTIM Finance
portage_salarial_definition,"Qu'est ce que le portagesalarial ?Le portage salarial est une relation tripartite entre une personne, un client et une société de portage. Ceci dans le but de permettre à la personne d’exercer une activité indépendante et autonome, tout en conservant le statut de salarié et les avantages du salariat.Le portage salarial est l’équilibre entre l’entrepreneuriat et le salariat, l’équilibre entre la flexibilité et la sécurité."
portage_salarial_pour_vous,"Le Portage salarial est faitpour vous siVous souhaitez vous mettre à votre compte, exercer de manière indépendante, sans avoir à gérer la responsabilité administrative, sociale et fiscale.Vous souhaitez augmenter vos revenus en optant pour le modèle de portage salarial.Vous souhaitez tester votre projet sans prendre de risque.Vous souhaitez cumuler retraite et activité indépendante.Vous souhaitez facturer vos missions au tarif que vous négociez."
portage_salarial_offre,"L'offre Portage SalarialOPTIM FinanceChoix et souplesse du Contrat de travailChoisissez entre CDI et CDD.Vous pouvez changer par la suite.Mutuelle santé de qualitéLa meilleure couverture santé chez AXA.Pour vous et vous enfants, à 82 € / moisAvance de salaireVotre salaire payé le 2 du mois suivant la prestation.(Exemple : Votre salaire de Janvier et payé le 2 février)Plan Epargne EntrepriseProfitez de ce dispositif pour épargner et alléger vos chargesVous êtes assuréOPTIM Finance vous offre l’Assurance Responsabilité Civile Professionnelle, et la Garantie financière.Frais de gestion à 4%Tout compris. Aucun frais annexe.Pas de reliquat de fin d’année. Pas de surprise.Frais professionnels étendus et simplifiésFrais de repas. Frais kilométriques. Frais de transport. Frais bureautiques.Achat de matériel à -50%.Achat de formation à -50%Des outils pour maitriser votre activité :Votre espace personnel et votre application mobile vous permettent de saisir votre CRA, consulter vos documents, vos transactions financières, et piloter votre activité via un Dashboard.En plus de la Signature électronique, Coffre-fort numérique, Help Center Jira"
portage_salarial_frais,"Vos frais professionnels avecOPTIM FinanceFrais professionnels étendus et simplifiésFrais de repas de 19€/jour, sans justificatif.en savoir plusFrais bureautiques :Scanner, imprimante, recharge, fourniture.en savoir plusFrais kilométriques au réel calculés automatiquement.en savoir plusAchat de matériel :Achetez un téléphone, un ordinateur ou tout équipement nécessaire à la mission, à – 50%, grâce à l’optimisation.en savoir plusFrais de transport en commun pris en charge à 100%.en savoir plusAchat de formation :Achetez votre formation professionnelle à – 50%, grâce à l’optimisation.en savoir plus"
portage_salarial_simulation_cta,"Envie de simuler vosrevenus?Faire une simulationAppelez-nous, envoyez-nous un e-mail ou remplissez le formulaire de contact et nous vous répondrons.Faire une simulationPrendre un rendez-vousAppelez-nous, envoyez-nous un e-mail ou remplissez le formulaire de contact et nous vous répondrons.Prendre un rendez-vous"
auto_entreprise_description,Auto-entrepriseL'auto-entreprise avecOPTIM Finance
auto_entreprise_definition,"Qu’est ce quel’auto-entreprise?Une entreprise individuelle qui relève du régime fiscal de la micro-entreprise. Un régime simplifié pour faciliter les démarches de création et de gestion de votre activité, tout en vous permettant de bénéficier d’une protection sociale dédiée et d’autres avantages administratifs."
auto_entreprise_pour_vous,"Vous êtes éligible à nosoffre si ?Vous souhaitez vous mettre à votre compte, exercer de manière indépendante, sans avoir à gérer la responsabilité administrative, sociale et fiscale.Vous souhaitez augmenter vos revenus en optant pour le modèle de Portage Salarial.Vous souhaitez tester votre projet, sans prendre de risque.Vous souhaitez cumuler retraite et activité indépendante.Vous souhaitez facturer vos missions au tarif que vous négocier."
auto_entreprise_caracteristiques,"Qu'est ce qui caractérise l'auto-entreprise avecOPTIM Finance ?Votre statut est crée en 24HGrace à la procédure dématérialisée, et notre expertise.Vos revenus sont protégésOPTIM Finance facture vos clients, et prend en charge un éventuel impayé ou retard de paiement.Avance de rémunérationVotre rémunération vous est payé le 2 du mois suivant la prestation. (Votre rémunération de Janvier et payé le 2 février)Votre activité est bien géréeVous vous évitez la complexité administrative. Vous êtes toujours en règle.Vous êtes assuréOPTIM Finance vous offre l’Assurance Responsabilité Civile ProfessionnelleLe conseilProfitez des conseils et de l’expérience de OPTIM Finance, tout au long de votre parcours.Aucun plafond de chiffre d’affairesOPTIM Finance vous permet de facturer au-delà du plafond de 77 k.Gérer votre activité en ligne et sur MobileVotre espace personnel vous permet de suivre et piloter votre activité."
